Date,Close,High,Low,Open,Volume
4/14/2020,1697.798218,1714.162538,1636.432017,1636.432017,57683200
4/15/2020,1718.253784,1730.527025,1632.341095,1701.889462,75203600
4/16/2020,1628.25,1677.342965,1615.976759,1677.342965,92763800
4/17/2020,1701.889404,1705.980485,1665.069682,1665.069682,89041400
4/20/2020,1677.343018,1734.618145,1665.069776,1705.980581,69765600
4/21/2020,1648.705322,1677.342884,1632.341001,1669.160723,41715200
4/22/2020,1644.61438,1665.069783,1595.521413,1624.158977,105656400
4/23/2020,1644.61438,1665.069783,1632.341138,1656.887622,76382800
4/24/2020,1554.610474,1644.614238,1546.428313,1644.614238,100645000
4/27/2020,1554.610474,1603.703436,1534.155073,1583.248035,68610200
4/28/2020,1562.792603,1566.883683,1534.155042,1562.792603,69997600
4/29/2020,1538.246094,1575.065814,1534.155014,1575.065814,65257600
4/30/2020,1677.343018,1677.343018,1554.610602,1562.792763,126389200
5/4/2020,1603.703613,1636.432258,1583.24821,1636.432258,66251600
5/5/2020,1570.974731,1648.705252,1546.428251,1620.067692,108560200
5/6/2020,1566.883667,1591.430147,1562.792587,1575.065827,82511800
5/8/2020,1554.610474,1583.248035,1550.519393,1575.065875,91046000
5/11/2020,1554.610474,1579.156955,1554.610474,1579.156955,80701600
5/12/2020,1497.335327,1562.792609,1493.244247,1562.792609,164776400
5/13/2020,1521.881836,1530.063996,1464.606713,1489.153194,78014600
5/14/2020,1448.242432,1530.064038,1435.969191,1501.426476,94613200
5/15/2020,1366.420898,1468.697912,1350.056576,1460.515751,173916400
5/18/2020,1362.329712,1395.058354,1337.783231,1382.785113,83620800
5/19/2020,1440.060303,1464.606785,1382.785177,1390.967338,154163000
5/20/2020,1472.78894,1489.153262,1399.149493,1460.515699,148603000
5/26/2020,1485.062134,1497.335375,1464.606732,1497.335375,88906800
5/27/2020,1485.062134,1513.699696,1464.606732,1489.153214,128476400
5/28/2020,1497.335327,1550.519369,1485.062087,1489.153167,233662000
5/29/2020,1566.883667,1579.156907,1468.697745,1497.335306,294115600
6/2/2020,1624.158813,1652.796374,1575.065852,1595.521253,263164400
6/3/2020,1689.616089,1714.16257,1587.339086,1644.614208,277008600
6/4/2020,1693.707275,1783.711044,1681.434034,1718.253758,227041600
6/5/2020,1738.709106,1755.073427,1648.705341,1718.253705,145380800
6/8/2020,1975.991821,2020.993705,1775.528883,1779.619963,311447600
6/9/2020,1988.265137,2106.906472,1984.174056,2004.629459,285710200
6/10/2020,1849.168213,1984.173857,1849.168213,1984.173857,303568800
6/11/2020,1722.344727,1845.07713,1722.344727,1845.07713,444085400
6/12/2020,1828.712891,1828.712891,1611.885635,1722.344803,399567400
6/15/2020,1718.253784,1840.986197,1710.071623,1832.804036,233304600
6/16/2020,1885.987915,1885.987915,1779.619833,1779.619833,263297600
6/17/2020,1861.441528,1943.263134,1845.077207,1914.625572,186268000
6/18/2020,1840.986084,1869.623645,1812.348523,1840.986084,104127000
6/19/2020,1832.804077,1869.623802,1820.530836,1861.441641,82478400
6/22/2020,1828.712891,1845.077212,1816.43965,1832.803971,51006800
6/23/2020,1791.893188,1828.712912,1767.346706,1828.712912,83534400
6/24/2020,1939.172241,1955.536564,1804.166579,1804.166579,302121200
6/25/2020,1861.441528,1918.716652,1845.077207,1910.534492,235644400
6/26/2020,1873.714844,1918.716729,1861.441602,1902.352407,133600200
6/29/2020,1877.805786,1881.896866,1836.894985,1861.441466,69967400
6/30/2020,1873.714844,1922.807809,1861.441602,1910.534568,123530000
7/1/2020,1857.350586,1894.170311,1845.077344,1881.897069,74028600
7/2/2020,1877.805786,1881.896866,1857.350385,1857.350385,57236400
7/3/2020,1865.532471,1898.261111,1861.441391,1881.896791,47528000
7/6/2020,1885.987915,1898.261155,1873.714675,1877.805755,62036400
7/7/2020,1881.896851,1906.443331,1873.71469,1902.352251,82084400
7/8/2020,1963.718628,1975.991869,1873.714857,1881.897018,230576800
7/9/2020,1935.080933,1988.264975,1930.989852,1971.900654,116501200
7/10/2020,1910.534546,1935.081028,1902.352385,1922.807787,75306000
7/13/2020,1943.263306,1951.445467,1922.807902,1922.807902,71091800
7/14/2020,1930.989868,1955.53635,1922.807708,1943.263109,96113000
7/15/2020,1926.899048,1955.536613,1926.899048,1947.354452,84620000
7/16/2020,1922.807739,1939.17206,1914.625579,1926.89882,86094200
7/17/2020,1910.534546,1930.989948,1910.534546,1914.625626,37567000
7/20/2020,1857.350586,1918.716795,1845.077344,1918.716795,135393000
7/21/2020,1914.62561,1922.807771,1865.532646,1869.623726,121672800
7/22/2020,1910.534546,1943.263189,1906.443466,1922.807787,96854200
7/23/2020,1926.899048,1959.627694,1910.534725,1918.716886,152124600
7/24/2020,1885.987915,1926.898716,1877.805755,1926.898716,109205600
7/27/2020,1902.352417,1906.443497,1881.897015,1898.261337,54144000
7/28/2020,1914.62561,1926.898851,1902.352369,1906.44345,70478400
7/29/2020,1877.805786,1906.443347,1873.714706,1906.443347,128065400
7/30/2020,1881.896851,1894.170091,1869.62361,1885.987931,96801600
8/3/2020,1816.439575,1902.352258,1759.164453,1902.352258,146498200
8/4/2020,1865.532471,1865.532471,1820.530591,1828.712751,66409200
8/5/2020,1894.170288,1898.261369,1845.077322,1869.623805,82299800
8/6/2020,1898.261108,1910.534348,1894.170028,1902.352188,64511600
8/7/2020,1890.079224,1914.625707,1881.897062,1898.261385,56842400
8/10/2020,1890.079224,1898.261385,1885.988143,1890.079224,29651200
8/11/2020,1955.536499,1971.900821,1894.170291,1894.170291,192912200
8/12/2020,2096.678711,2127.361814,1947.354276,1963.718598,362397000
8/13/2020,2076.223389,2188.728104,2055.767986,2127.361896,175205000
8/14/2020,2045.540161,2086.450964,2045.540161,2076.223264,114290200
