Date,Close,High,Low,Open,Volume
1/2/2020,2800.025635,2809.057976,2763.896272,2772.928612,37379800
1/3/2020,2790.993408,2827.122773,2754.864044,2800.025749,70294600
1/6/2020,2745.831543,2772.928565,2718.734521,2763.896224,61892000
1/7/2020,2745.831543,2790.993246,2736.799202,2790.993246,70895600
1/8/2020,2709.702148,2727.766829,2664.540446,2727.766829,105080600
1/9/2020,2781.960938,2790.993278,2718.734553,2727.766893,75587000
1/10/2020,2790.993408,2790.993408,2763.896385,2781.961067,64231800
1/13/2020,2790.993408,2800.025749,2763.896385,2790.993408,75399600
1/14/2020,2800.025635,2818.090316,2781.960953,2818.090316,104134400
1/15/2020,2763.895996,2818.090035,2745.831316,2800.025356,89795200
1/16/2020,2727.766602,2772.9283,2718.734262,2745.831281,145432200
1/17/2020,2790.993408,2800.025749,2718.734679,2736.799361,130500200
1/20/2020,2754.86377,2818.090151,2745.831429,2818.090151,24031800
1/21/2020,2781.960938,2800.025619,2754.863915,2800.025619,39166600
1/22/2020,2818.090332,2836.155014,2790.99331,2800.02565,122175200
1/23/2020,2809.058105,2827.122788,2781.961082,2818.090447,83127800
1/24/2020,2863.252197,2890.349221,2790.993467,2827.122832,154702000
1/27/2020,2790.993408,2881.316819,2781.961067,2872.284478,98280000
1/28/2020,2800.025635,2827.122657,2745.83159,2763.896272,69349600
1/29/2020,2818.090332,2863.252036,2809.057991,2827.122673,109661000
1/30/2020,2763.895996,2827.122375,2745.831316,2818.090035,85395600
1/31/2020,2727.766602,2781.96064,2691.637243,2772.9283,157661000
2/3/2020,2709.702148,2736.79917,2655.508105,2673.572786,87271800
2/4/2020,2718.734375,2772.928416,2709.702035,2745.831395,138857400
2/5/2020,2781.960938,2781.960938,2727.766893,2745.831575,130211200
2/6/2020,2781.960938,2836.154982,2772.928597,2818.0903,111029400
2/7/2020,2790.993408,2800.025749,2772.928726,2772.928726,86438600
2/10/2020,2790.993408,2800.025749,2745.831703,2781.961067,78553800
2/11/2020,2809.058105,2827.122788,2772.928741,2790.993423,98520200
2/12/2020,2818.090332,2854.219695,2809.057991,2827.122673,104678800
2/13/2020,2836.155029,2872.284393,2818.090348,2827.122688,87904000
2/14/2020,2827.122559,2836.154899,2800.025537,2800.025537,41345200
2/17/2020,2836.155029,2845.18737,2818.090348,2836.155029,29816600
2/18/2020,2827.122559,2836.154899,2818.090218,2818.090218,65442000
2/19/2020,2872.284424,2872.284424,2818.090378,2836.15506,121614200
2/20/2020,2890.348877,2908.413557,2863.251856,2899.381217,114537600
2/21/2020,2854.219482,2890.348843,2827.122462,2872.284163,91798000
