Date,Close,High,Low,Open,Volume
3/30/2020,4414.5,4545.570801,4317.713867,4545.570801,27552200
3/31/2020,4538.930176,4569.473145,4414.5,4414.5,43426600
4/1/2020,4466.037109,4627.417969,4445.138184,4538.930176,41848000
4/2/2020,4531.685059,4531.685059,4393.668945,4466.037109,46011500
4/3/2020,4623.429199,4623.429199,4531.685059,4531.685059,58684300
4/6/2020,4811.827148,4811.827148,4623.429199,4623.429199,70452900
4/7/2020,4778.63916,4975.536133,4721.721191,4811.827148,86224800
4/8/2020,4626.694824,4780.214844,4583.900879,4778.63916,45557700
4/9/2020,4649.079102,4669.709961,4562.901855,4626.694824,53523100
4/13/2020,4623.894043,4659.029785,4591.728027,4649.079102,45586600
4/14/2020,4706.491211,4706.491211,4623.894043,4623.894043,55226400
4/15/2020,4625.904785,4747.725098,4605.054199,4706.491211,63059600
4/16/2020,4480.606934,4480.606934,4480.606934,4480.606934,0
4/17/2020,4634.820801,4637.242188,4480.606934,4480.606934,54547300
4/20/2020,4575.904785,4669.541992,4573.773926,4634.820801,52113500
4/21/2020,4501.918945,4575.904785,4482.63916,4575.904785,42328500
4/22/2020,4567.562012,4580.680176,4441.089844,4501.918945,48368900
4/23/2020,4593.554199,4629.025879,4567.562012,4567.562012,49463700
4/24/2020,4496.063965,4593.830078,4496.063965,4593.554199,46122600
4/27/2020,4513.141113,4541.312012,4474.893066,4496.063965,36774700
4/28/2020,4529.554199,4532.378906,4494.470215,4513.141113,45440500
4/29/2020,4567.323242,4568.665039,4523.955078,4529.554199,41461800
4/30/2020,4716.402832,4726.773926,4567.323242,4567.323242,60229700
5/4/2020,4605.486816,4716.402832,4576.228027,4716.402832,39084200
5/5/2020,4630.132813,4667.786133,4605.486816,4605.486816,47829500
5/6/2020,4608.790039,4647.524902,4597.750977,4630.132813,45079300
5/8/2020,4597.430176,4630.588867,4586.73877,4608.790039,47798700
5/11/2020,4639.10498,4659.861816,4597.430176,4597.430176,45461000
5/12/2020,4588.733887,4644.134766,4552.387207,4639.10498,46906900
5/13/2020,4554.358887,4588.733887,4519.978027,4588.733887,45092300
5/14/2020,4513.833984,4564.149902,4494.153809,4554.358887,47342600
5/15/2020,4507.606934,4540.420898,4460.272949,4513.833984,46257200
5/18/2020,4511.058105,4527.967773,4487.179199,4507.606934,45156900
5/19/2020,4548.655762,4609.041992,4511.058105,4511.058105,51665300
5/20/2020,4545.952148,4561.554199,4521.470215,4548.655762,42464800
5/26/2020,4626.798828,4634.652832,4541.833984,4545.952148,53757500
5/27/2020,4641.555176,4641.555176,4597.37207,4626.798828,60985400
5/28/2020,4716.185059,4741.603027,4638.808105,4641.555176,68549600
5/29/2020,4753.611816,4755.957031,4704.788086,4716.185059,104791300
6/2/2020,4847.506836,4884.01123,4753.611816,4753.611816,73135500
6/3/2020,4941.005859,4960.070801,4847.506836,4847.506836,101631500
6/4/2020,4916.704102,5014.76416,4899.390137,4941.005859,110933800
6/5/2020,4947.782227,4948.512207,4851.148926,4916.704102,86864800
6/8/2020,5070.561035,5103.085938,4947.782227,4947.782227,138169200
6/9/2020,5035.055176,5139.405762,5023.76709,5070.561035,115140600
6/10/2020,4920.682129,5036.855957,4892.817871,5035.055176,84234700
6/11/2020,4854.753906,4931.242188,4812.192871,4920.682129,71655200
6/12/2020,4880.358887,4880.358887,4712.073242,4854.753906,80885000
6/15/2020,4816.335938,4918.056152,4809.619141,4880.358887,64138400
6/16/2020,4986.458008,4989.526855,4816.335938,4816.335938,75836700
6/17/2020,4987.775879,5018.984863,4968.925781,4986.458008,68366200
6/18/2020,4925.248047,4993.61377,4925.248047,4987.775879,70877500
6/19/2020,4942.274902,4970.066895,4925.248047,4925.248047,57556700
6/22/2020,4918.831055,4957.666016,4904.766113,4942.274902,47869800
6/23/2020,4879.132813,4938.394043,4879.132813,4918.831055,54884300
6/24/2020,4964.734863,4977.650879,4879.132813,4879.132813,62466500
6/25/2020,4896.72998,4964.734863,4883.709961,4964.734863,50705900
6/26/2020,4904.087891,4941.138184,4882.141113,4896.72998,44280300
6/29/2020,4901.817871,4909.905762,4862.041016,4904.087891,44174500
6/30/2020,4905.39209,4939.839844,4894.120117,4901.817871,51279100
7/1/2020,4914.388184,4928.611816,4885.602051,4905.39209,43243400
7/2/2020,4966.779785,4966.779785,4914.388184,4914.388184,55396200
7/3/2020,4973.793945,4997.481934,4964.10791,4966.779785,55723400
7/6/2020,4988.866211,5009.345215,4973.490234,4973.793945,64282100
7/7/2020,4987.082031,5011.712891,4982.333984,4988.866211,72834600
7/8/2020,5076.173828,5080.251953,4985.01709,4987.082031,73499000
7/9/2020,5052.793945,5111.563965,5041.930176,5076.173828,79794300
7/10/2020,5031.255859,5076.520996,5022.169922,5052.793945,67684500
7/13/2020,5064.446777,5075.098145,5024.934082,5031.255859,65331900
7/14/2020,5079.12207,5079.12207,5053.722168,5064.446777,71530500
7/15/2020,5075.797852,5116.463867,5069.380859,5079.12207,82580500
7/16/2020,5098.374023,5107.259766,5075.797852,5075.797852,68710400
7/17/2020,5079.584961,5110.430176,5073.557129,5098.374023,61709100
7/20/2020,5051.105957,5100.191895,5031.888184,5079.584961,68632100
7/21/2020,5114.708984,5135.559082,5047.085938,5051.105957,83156800
7/22/2020,5110.187012,5142.043945,5099.566895,5114.708984,79454100
7/23/2020,5145.009766,5162.97998,5110.220215,5110.220215,98800000
7/24/2020,5082.991211,5149.589844,5074.492188,5145.01123,97013800
7/27/2020,5116.666016,5116.666016,5080.121094,5082.991211,103523300
7/28/2020,5112.98877,5143.286133,5097.418945,5116.666016,91890400
7/29/2020,5149.629883,5149.629883,5091.399902,5111.109863,80750000
7/30/2020,5149.626953,5149.626953,5091.399902,5111.112793,80749900
8/3/2020,5006.223145,5157.272949,4928.467773,5149.626953,83815200
8/4/2020,5075.001953,5075.001953,5006.223145,5006.223145,73766600
8/5/2020,5127.050781,5127.050781,5059.088867,5075.001953,84611300
8/6/2020,5178.271973,5187.963867,5127.050781,5127.050781,90452400
8/7/2020,5143.893066,5187.374023,5119.683105,5178.271973,91282400
8/10/2020,5157.833984,5157.833984,5157.833984,5157.833984,0
8/11/2020,5190.169922,5201.450195,5157.930176,5157.930176,88400000
8/12/2020,5233.452148,5235.52002,5178.458984,5190.166016,96807400
8/13/2020,5239.25,5279.349121,5218.413086,5233.452148,84601700
8/14/2020,5247.689941,5255.374023,5221.919922,5239.25,70397600
8/18/2020,5295.173828,5316.132813,5243.995117,5247.689941,95642400
8/19/2020,5272.810059,5327.315918,5268.506836,5295.173828,92676400
8/24/2020,5277.041016,5294.153809,5261.408203,5272.810059,138410800
8/25/2020,5338.888184,5341.376953,5276.957031,5277.041016,146510200
8/26/2020,5340.328125,5351.471191,5324.612793,5338.888184,137729200
8/27/2020,5371.472168,5371.472168,5325.487793,5340.328125,134549700
8/28/2020,5346.65918,5381.948242,5325.60498,5371.472168,107955900
8/31/2020,5238.486816,5369.446777,5233.143066,5346.65918,124088000
9/1/2020,5310.679199,5310.679199,5219.208008,5238.486816,90465800
9/2/2020,5311.970215,5337.099121,5295.276855,5310.679199,121613800
9/3/2020,5280.812988,5331.167969,5242.171875,5311.970215,136923000
9/4/2020,5239.851074,5280.812988,5188.608887,5280.812988,95095800
9/7/2020,5230.195801,5245.349121,5195.865234,5235.009766,80111600
9/8/2020,5244.071777,5256.305176,5232.917969,5232.917969,103353200
9/9/2020,5149.375977,5216.02002,5135.812012,5214.032227,101220300
9/10/2020,4891.460938,5084.483887,4878.279785,5084.326172,82384700
9/11/2020,5016.711914,5016.711914,4754.798828,4804.644043,125812400
9/14/2020,5161.828125,5161.828125,5059.26709,5060.023926,109865600
9/15/2020,5100.865234,5187.278809,5091.293945,5169.245117,113645500
9/16/2020,5058.481934,5117.287109,5051.753906,5108.12793,88769100
9/17/2020,5038.400879,5099.577148,5013.186035,5058.950195,85305000
9/18/2020,5059.223145,5072.680176,5023.443848,5037.369141,105751600
9/21/2020,4999.359863,5075.818848,4987.748047,5058.990234,106452100
9/22/2020,4934.092773,4978.440918,4919.109863,4947.730957,74792200
9/23/2020,4917.955078,4984.23877,4873.020996,4946.50293,70609200
9/24/2020,4842.755859,4897.336914,4820.331055,4876.351074,65673400
9/25/2020,4945.791016,4949.303223,4848.024902,4867.962891,88843900
9/28/2020,4906.547852,4991.762207,4905.51123,4962.953125,83772300
9/29/2020,4879.098145,4950.967773,4859.786133,4929.333008,86481700
9/30/2020,4870.039063,4903.86377,4841.361816,4896.432129,85378000
10/1/2020,4970.094238,4970.094238,4898.99707,4899.644043,96362100
10/2/2020,4926.733887,4972.823242,4881.913086,4969.245117,88815300
10/5/2020,4958.769043,4962.792969,4915.685059,4947.040039,70868100
10/6/2020,4999.221191,5023.894043,4992.481934,5004.395996,108547800
10/7/2020,5004.327148,5014.609863,4962.089844,4976.567871,92870700
10/8/2020,5039.14209,5039.14209,5001.519043,5018.736816,80288700
10/9/2020,5053.663086,5057.835938,5029.151855,5036.476074,69016600
10/12/2020,5093.099121,5103.50293,5078.128906,5078.128906,91642100
10/13/2020,5132.571777,5132.958984,5064.170898,5093.421875,110621000
10/14/2020,5176.099121,5177.924805,5125.044922,5134.662109,119876700
10/15/2020,5105.149902,5182.530762,5105.149902,5172.59082,110523700
10/16/2020,5103.414063,5115.558105,5067.588867,5111.434082,92480400
10/19/2020,5126.330078,5128.651855,5090.776855,5116.757813,111112200
10/20/2020,5099.839844,5135.078125,5080.956055,5120.913086,88592600
10/21/2020,5096.445801,5131.506836,5083.660156,5116.790039,104786700
10/22/2020,5091.815918,5093.825195,5063.696777,5084.790039,122922500
10/23/2020,5112.187988,5121.02002,5095.506836,5112.787109,95498300
10/26/2020,5144.048828,5158.265137,5113.022949,5113.148926,103314100
10/27/2020,5128.225098,5155.565918,5110.618164,5133.537109,107122400
11/2/2020,5115.12793,5130.686035,5073.5,5108.028809,97646200
11/3/2020,5159.452148,5162.347168,5131.949219,5133.981934,101351100
11/4/2020,5105.199219,5188.008789,5105.199219,5170.823242,103974300
11/5/2020,5260.326172,5260.326172,5161.390137,5161.390137,108832000
11/6/2020,5335.528809,5335.528809,5246.701172,5276.164063,104732100
11/9/2020,5356.004883,5395.711914,5319.419922,5371.971191,121516500
11/10/2020,5462.73877,5469.183105,5412.594238,5424.731934,149596500
11/11/2020,5509.513184,5520.908203,5471.591797,5475.564941,165238700
11/12/2020,5458.602051,5500.416016,5449.796875,5494.484863,119777900
